Market,Daily Trade Volume,Daily Trade Value
NZSX,150318264.2555,59185746
NZDX,41695380.0,3651000
NZSX,150617342.3195,59242809
NZDX,41695380.0,3651000
NZSX,150318264.2555,59185746
NZDX,41695380.0,3651000
NZSX,150318264.2555,59185746
NZDX,41695380.0,3651000
NZSX,150318264.2555,59185746
NZDX,41695380.0,3651000
NZSX,150318264.2555,59185746
NZDX,41695380.0,3651000
NZSX,150318264.2555,59185746
NZDX,41695380.0,3651000
NZSX,150318264.2555,59185746
NZDX,41695380.0,3651000
NZSX,150318264.2555,59185746
NZDX,41695380.0,3651000
NZSX,150318264.2555,59185746
NZDX,41695380.0,3651000
NZSX,150318264.2555,59185746
NZDX,41695380.0,3651000
NZSX,150318264.2555,59185746
NZDX,41695380.0,3651000
